# Yale Bright Star Catalogue 5 - converted by bsc5_converter.py
# RA_deg, Dec_deg, Vmag, BV
18.942083,-68.876111,4.860,0.470
19.450000,3.614444,5.160,0.070
19.695833,37.386111,6.460,0.230
19.265000,-66.398056,6.240,0.050
20.496250,76.238889,6.380,0.280
20.020417,58.231667,4.980,0.680
19.866667,27.264167,4.760,0.030
20.271667,64.658333,6.340,0.090
19.951250,-0.508889,5.870,0.640
20.945000,78.725833,6.070,0.390
20.143750,-3.246944,6.230,1.020
20.115833,-11.238889,6.150,1.110
20.280833,28.738056,5.230,1.390
20.585000,45.528889,4.880,1.080
20.840000,58.143056,6.450,0.000
20.654167,1.726389,6.200,1.520
20.645000,-0.449722,6.490,1.080
20.627083,-19.081389,6.350,0.480
20.919167,37.715000,5.580,0.260
20.906250,34.245833,6.290,0.830
20.853750,20.468889,5.970,1.710
21.443750,70.980000,6.490,0.000
21.483333,68.130000,4.740,1.050
20.879167,-30.945556,5.840,1.610
21.010417,-8.007500,6.210,0.230
21.005833,-8.183333,3.600,1.060
21.454167,60.235278,2.680,0.130
21.085833,-6.914722,5.910,0.410
21.165833,-15.660278,6.140,0.910
21.202917,-2.848611,6.150,0.960
21.398750,23.511667,6.180,0.430
21.170000,-41.492500,5.420,1.040
21.577500,43.457778,5.960,0.490
21.536250,34.579722,6.310,0.470
21.174583,-44.528333,6.260,1.140
21.405000,-14.598889,4.900,1.230
21.563750,19.172222,5.380,0.390
21.673750,19.240278,5.500,1.110
21.775833,34.377500,6.270,0.460
21.613750,-0.398611,6.410,1.240
21.914167,45.406667,4.830,0.420
21.860833,41.100556,6.460,0.270
21.722917,3.535278,6.580,-0.040
21.272083,-64.369444,5.930,1.560
21.715000,-13.056667,5.660,0.350
21.945833,40.335556,6.600,-0.040
21.742083,-32.543056,5.790,3.860
37.952917,89.264167,2.020,0.600
21.944167,-10.901667,6.130,1.320
22.095417,7.961389,6.200,1.120
22.807500,70.264722,5.810,0.470
22.717917,66.098056,6.140,0.080
22.091250,-43.318333,3.410,1.570
22.525833,47.007222,5.270,1.000
22.180417,-33.763611,6.580,0.300
22.470417,18.355556,6.020,0.140
22.400417,-21.629444,5.120,0.020
22.546250,6.143889,4.840,1.370
22.376667,-46.756389,6.310,1.660
22.595417,-26.207778,5.930,1.340
22.870833,15.345833,3.620,0.970
23.031667,34.800000,6.390,-0.120
23.357500,58.327500,5.700,1.520
22.812917,-49.072778,3.950,0.990
22.930417,-30.283333,5.820,1.080
23.482917,59.231944,4.710,1.000
22.912917,-45.575556,6.170,0.060
23.264583,-9.014722,6.590,-0.040
23.233333,-36.865278,5.510,1.020
23.569167,37.237222,5.880,-0.070
23.151250,-49.727778,6.280,0.460
23.428750,-7.025278,5.760,0.640
24.343750,74.300833,6.580,0.030
23.704583,18.460556,5.890,1.520
23.657500,-15.676111,5.630,0.070
23.968750,41.076389,6.380,1.110
23.711250,-31.892222,6.120,1.110
24.113333,48.722778,5.920,1.210
23.943333,14.661389,6.220,-0.040
24.628750,73.040000,5.280,0.960
23.978333,17.433611,5.800,0.000
24.199167,41.405556,4.090,0.540
23.995833,-15.400278,5.420,1.210
23.813333,-58.139444,6.010,0.380
24.531667,57.977500,5.560,1.380
24.035000,-29.907500,5.690,0.330
24.274583,12.141667,5.570,0.350
24.498333,48.628333,3.570,1.280
24.632083,45.400000,6.360,0.040
24.407083,-9.403889,6.240,0.530
23.413333,-78.504722,6.110,0.970
24.186667,-58.270833,6.180,1.610
24.837500,44.386111,4.980,0.890
25.054583,53.868333,6.390,1.610
24.614167,-36.528333,5.940,1.050
24.428750,-57.236667,0.460,-0.160
24.715833,-21.275278,5.580,0.340
24.708333,-25.021944,6.700,-0.080
24.920000,16.405833,5.970,1.120
25.165833,43.297778,5.610,0.210
25.145000,40.576944,4.940,-0.090
25.585417,68.043056,5.590,-0.070
24.700833,-53.438889,6.840,0.440
25.732917,70.622500,5.180,-0.040
25.512500,61.038333,6.710,-0.030
25.574167,58.627778,6.370,-0.020
25.446667,42.613611,4.950,0.620
25.326667,25.745833,6.170,0.440
25.413333,30.047222,5.990,1.010
24.947500,-56.198056,5.870,0.900
24.949167,-56.194722,5.760,0.870
25.743333,61.421667,6.340,0.010
25.357917,5.487500,4.440,1.360
25.514583,35.245556,5.640,-0.070
25.832083,60.551111,5.780,-0.020
25.436250,-11.324722,5.750,0.440
25.624167,20.268611,5.240,0.840
25.363750,-38.133056,6.170,0.420
